#{"t_start": 1748668966.7769225, "env_id": "None"}
r,l,t
-156.0,12,1.269496
68.0,12,1.471532
-90.0,12,1.564753
-154.0,12,2.408612
-150.0,12,2.61827
-142.0,12,3.273958
-184.0,12,4.579822
-194.0,12,5.853564
-240.0,12,6.080791
-42.0,12,6.561285
-156.0,12,7.594361
-198.0,12,7.804946
-158.0,12,8.493968
-188.0,12,9.457795
-154.0,12,10.300381
-82.0,12,11.054334
-194.0,12,11.262944
-168.0,12,12.028201
74.0,12,12.493704
-94.0,12,13.367458
-156.0,12,13.981448
-136.0,12,14.613448
-114.0,12,14.998967
-170.0,12,15.05444
-202.0,12,15.530509
-96.0,12,16.321617
-114.0,12,17.329128
-144.0,12,18.108817
-158.0,12,19.067099
-58.0,12,20.061578
-138.0,12,20.828193
-150.0,12,21.426315
-160.0,12,21.809247
-108.0,12,22.263829
-60.0,12,22.559444
-102.0,12,23.375242
-184.0,12,24.53059
-240.0,12,24.757921
-240.0,12,25.671221
-12.0,12,26.622108
-130.0,12,27.262674
-158.0,12,28.063054
-130.0,12,29.138016
-114.0,12,30.018563
-76.0,12,30.855443
-204.0,12,31.18122
-222.0,12,31.973417
-178.0,12,32.833734
-240.0,12,33.491684
-56.0,12,34.060988
-62.0,12,34.737174
-182.0,12,35.479827
-126.0,12,36.632104
36.0,12,37.413423
-80.0,12,37.846249
-48.0,12,38.804837
-70.0,12,39.87909
-240.0,12,40.477482
-210.0,12,41.566833
-168.0,12,42.540439
-152.0,12,43.369532
-140.0,12,44.222026
-84.0,12,45.287452
-148.0,12,46.070137
-212.0,12,46.799325
-76.0,12,47.688812
-168.0,12,48.612988
-118.0,12,49.843739
-220.0,12,50.748535
-48.0,12,51.635151
-146.0,12,51.886564
-164.0,12,52.469635
-136.0,12,53.143741
-108.0,12,53.857774
-240.0,12,54.529271
-142.0,12,55.178808
-192.0,12,56.432463
-96.0,12,57.004553
-240.0,12,57.501951
-106.0,12,58.444076
-70.0,12,58.761099
-204.0,12,59.371841
-220.0,12,60.112914
-42.0,12,61.204474
-98.0,12,61.892908
-142.0,12,62.773185
-240.0,12,63.544903
-212.0,12,64.246215
-74.0,12,64.258974
-186.0,12,64.435853
-72.0,12,65.060217
-120.0,12,65.866649
-84.0,12,66.595874
-104.0,12,67.112802
-162.0,12,67.735286
-204.0,12,68.538669
-212.0,12,69.322416
-74.0,12,70.104821
-204.0,12,71.039561
-220.0,12,71.672354
-102.0,12,71.83196
-180.0,12,72.729314
-90.0,12,72.867549
-188.0,12,73.608099
-228.0,12,74.243381
-112.0,12,75.071947
-80.0,12,76.044461
-214.0,12,76.916229
-240.0,12,77.672548
-48.0,12,78.095117
22.0,12,79.212007
-42.0,12,79.882212
-188.0,12,80.710162
-146.0,12,80.917819
-72.0,12,81.722664
-112.0,12,82.221076
-120.0,12,83.700087
-222.0,12,84.383572
-140.0,12,85.316722
-204.0,12,85.619757
-182.0,12,86.008072
-52.0,12,86.918895
-224.0,12,87.78965
-138.0,12,88.374303
-192.0,12,88.609699
4.0,12,89.525496
-82.0,12,90.135635
-204.0,12,91.348782
-188.0,12,91.929551
-214.0,12,92.624372
-186.0,12,93.441139
-110.0,12,94.66073
-150.0,12,95.367126
-158.0,12,96.192211
36.0,12,97.171462
-206.0,12,98.024944
-170.0,12,98.789473
-172.0,12,99.594358
-146.0,12,100.149682
-216.0,12,100.362555
-68.0,12,101.286192
-202.0,12,102.117756
-48.0,12,102.772813
-104.0,12,102.972674
-170.0,12,103.961392
-148.0,12,104.678973
-142.0,12,105.360101
-154.0,12,105.774951
-226.0,12,106.672328
-54.0,12,107.544785
-160.0,12,108.232705
-240.0,12,109.099565
-212.0,12,109.840742
-132.0,12,110.439178
-10.0,12,110.821662
-56.0,12,111.018454
-188.0,12,111.824849
86.0,12,112.559839
-172.0,12,113.268081
-104.0,12,113.582504
-148.0,12,114.584787
-190.0,12,114.958015
-240.0,12,115.369585
-52.0,12,115.455734
-128.0,12,116.063115
-162.0,12,116.427274
-136.0,12,117.079847
-188.0,12,117.345031
-184.0,12,117.645793
-16.0,12,118.257731
-158.0,12,119.405398
-66.0,12,120.02549
-202.0,12,120.161743
-124.0,12,121.097673
-152.0,12,121.935652
-240.0,12,122.640266
-172.0,12,123.588777
-100.0,12,124.410035
-240.0,12,125.090666
2.0,12,125.384517
-192.0,12,126.627826
-174.0,12,127.818085
-188.0,12,128.094495
-232.0,12,129.12268
-146.0,12,129.650821
-112.0,12,130.515068
-188.0,12,130.607201
-158.0,12,131.69326
-128.0,12,132.02397
-224.0,12,132.221351
-44.0,12,132.881752
-198.0,12,133.626245
-190.0,12,134.846553
-30.0,12,135.621638
-60.0,12,135.979851
10.0,12,136.920874
-76.0,12,137.400583
-194.0,12,138.375659
-240.0,12,139.583382
-84.0,12,140.380821
-190.0,12,140.982369
-134.0,12,141.802309
-164.0,12,142.772558
-212.0,12,143.061656
-178.0,12,143.826239
-84.0,12,143.835107
-148.0,12,144.797308
0.0,12,145.212435
-114.0,12,145.728419
-118.0,12,146.602077
-240.0,12,147.578394
-182.0,12,148.466935
-56.0,12,149.289552
-240.0,12,149.984725
-172.0,12,150.886947
-126.0,12,151.635893
-124.0,12,152.850908
-164.0,12,153.992705
2.0,12,154.120562
-42.0,12,154.705015
-166.0,12,155.571596
-60.0,12,156.808485
-60.0,12,157.895906
-80.0,12,158.966385
-80.0,12,159.636888
-220.0,12,160.234521
-86.0,12,161.01342
-184.0,12,161.183192
-206.0,12,162.256476
-214.0,12,162.781002
-92.0,12,163.841161
-92.0,12,164.718617
-116.0,12,165.723495
-240.0,12,166.682572
-70.0,12,167.415934
-152.0,12,168.190957
-176.0,12,168.760975
-166.0,12,169.624989
-204.0,12,170.352468
-140.0,12,171.286483
-120.0,12,172.208823
-86.0,12,172.819972
-216.0,12,174.086052
-162.0,12,174.556074
-198.0,12,175.345552
-38.0,12,175.761958
-108.0,12,176.477824
-100.0,12,177.218633
-80.0,12,177.916946
-170.0,12,178.248319
-62.0,12,178.538139
-136.0,12,179.668567
-212.0,12,180.635175
-174.0,12,181.22843
-82.0,12,182.104887
-20.0,12,182.748728
-98.0,12,183.483367
-188.0,12,183.653916
-184.0,12,184.78539
-150.0,12,185.895018
-240.0,12,186.510417
-206.0,12,187.218673
-82.0,12,187.869936
-240.0,12,188.444128
-178.0,12,189.218421
-48.0,12,189.980432
-180.0,12,191.110817
-174.0,12,192.116661
-240.0,12,192.622395
-46.0,12,193.401151
-210.0,12,193.668678
-218.0,12,194.406264
-66.0,12,195.207365
-222.0,12,196.082285
16.0,12,196.638259
-208.0,12,197.207705
-216.0,12,198.279872
-174.0,12,199.074986
-98.0,12,200.057885
-202.0,12,201.006541
-148.0,12,201.935288
-240.0,12,202.96677
-68.0,12,204.071323
-136.0,12,204.309558
-226.0,12,205.05134
-22.0,12,205.989421
-196.0,12,206.687139
-170.0,12,207.570814
-214.0,12,207.620787
-50.0,12,207.804218
-172.0,12,208.527635
-54.0,12,209.256978
-114.0,12,209.557846
-64.0,12,210.929438
-186.0,12,211.659639
-206.0,12,212.468607
-134.0,12,213.178958
-142.0,12,214.105379
14.0,12,214.829678
-192.0,12,215.380913
-136.0,12,216.245744
-162.0,12,217.071523
-66.0,12,217.081809
-140.0,12,217.582389
-192.0,12,217.903352
-66.0,12,218.536952
154.0,12,219.06777
-174.0,12,219.419611
-158.0,12,219.979783
-210.0,12,220.641379
-52.0,12,221.164393
-184.0,12,222.155041
-122.0,12,223.035499
-114.0,12,223.984279
-124.0,12,224.594742
-156.0,12,225.43308
-172.0,12,226.211617
-182.0,12,227.013225
-32.0,12,227.35166
-160.0,12,228.08454
-182.0,12,229.024194
-202.0,12,229.847916
-34.0,12,230.552921
-162.0,12,231.692522
-136.0,12,232.744433
-132.0,12,233.951002
-74.0,12,234.848516
-240.0,12,235.397229
-126.0,12,236.368068
-188.0,12,237.228049
-154.0,12,238.154567
-62.0,12,239.12721
60.0,12,240.377305
-202.0,12,241.19062
32.0,12,241.927658
-142.0,12,242.627227
-202.0,12,243.485846
-28.0,12,245.371222
-210.0,12,246.221539
-156.0,12,246.232092
-124.0,12,247.109776
-110.0,12,248.287954
-240.0,12,248.588932
-204.0,12,249.624787
-210.0,12,250.209003
-176.0,12,250.339046
-160.0,12,251.187104
-160.0,12,251.934854
-134.0,12,252.636481
-200.0,12,253.666355
26.0,12,255.149672
-206.0,12,256.332495
-176.0,12,256.96593
-240.0,12,257.724486
-174.0,12,257.997898
-204.0,12,258.734821
-192.0,12,259.564116
-78.0,12,260.313513
-118.0,12,261.056495
76.0,12,261.099622
-178.0,12,261.927326
10.0,12,262.426327
-240.0,12,263.434947
