#{"t_start": 1748835617.5918171, "env_id": "None"}
r,l,t
-194.0,12,0.680169
-210.0,12,1.160237
-142.0,12,1.216982
-170.0,12,1.219001
2.0,12,1.652096
-186.0,12,1.710086
-226.0,12,1.760644
-180.0,12,2.698023
-116.0,12,2.703579
-152.0,12,2.806141
8.0,12,2.948224
-240.0,12,2.957229
-76.0,12,3.021157
-52.0,12,3.598858
-52.0,12,3.679757
-28.0,12,4.325465
-158.0,12,5.241684
-210.0,12,5.403902
-224.0,12,5.980898
28.0,12,5.992555
-58.0,12,6.505867
-118.0,12,7.209712
-172.0,12,7.546257
-148.0,12,7.918134
-212.0,12,8.124147
-82.0,12,8.132716
-104.0,12,8.563858
-240.0,12,8.577922
-240.0,12,8.997265
-20.0,12,9.812903
-142.0,12,10.038089
-158.0,12,10.963936
-190.0,12,11.403698
-118.0,12,11.742242
-100.0,12,12.582084
-224.0,12,12.634917
-120.0,12,12.7505
-240.0,12,12.76196
-196.0,12,13.760059
-154.0,12,13.771165
-220.0,12,13.798553
-188.0,12,14.116163
-240.0,12,14.300039
-134.0,12,15.084043
20.0,12,15.181283
-148.0,12,16.08041
-230.0,12,16.969639
-156.0,12,17.324396
-50.0,12,18.081051
-192.0,12,18.937551
38.0,12,18.948247
-140.0,12,19.076631
-206.0,12,19.787098
-92.0,12,19.97895
-240.0,12,20.637741
-206.0,12,21.496625
-88.0,12,22.422133
-178.0,12,22.479796
-176.0,12,22.765915
-80.0,12,23.39633
-184.0,12,24.086087
-178.0,12,25.018146
-14.0,12,26.042148
-168.0,12,26.270434
-122.0,12,26.978285
-202.0,12,27.936257
-160.0,12,28.669098
46.0,12,29.523981
-210.0,12,30.695251
-178.0,12,31.154668
-170.0,12,31.755884
66.0,12,32.302068
-174.0,12,32.490103
-240.0,12,32.55016
-206.0,12,32.858688
34.0,12,33.084843
-170.0,12,33.1673
-174.0,12,34.434779
-156.0,12,34.789707
-204.0,12,35.353756
70.0,12,36.258424
-240.0,12,36.907228
-52.0,12,37.824309
-218.0,12,38.386544
-92.0,12,39.018953
98.0,12,39.535336
-188.0,12,39.546366
-240.0,12,40.933949
-192.0,12,40.946857
-140.0,12,41.379002
-40.0,12,41.604436
-44.0,12,41.91457
-190.0,12,42.922735
-74.0,12,43.825931
-70.0,12,44.794443
-74.0,12,45.470237
-98.0,12,46.113811
-94.0,12,47.115408
-112.0,12,48.013907
8.0,12,48.843931
-94.0,12,49.536364
-160.0,12,51.132478
-84.0,12,51.146416
-172.0,12,51.357906
-30.0,12,51.911522
-240.0,12,52.341261
-50.0,12,53.033688
-194.0,12,53.332365
-54.0,12,53.40849
-202.0,12,53.550177
-60.0,12,53.562467
-168.0,12,54.357458
-98.0,12,55.07431
-180.0,12,55.880321
-54.0,12,55.987026
-68.0,12,55.99746
-214.0,12,56.46278
14.0,12,56.559166
-210.0,12,57.26026
-218.0,12,57.323563
-154.0,12,58.423729
-156.0,12,58.434711
-154.0,12,59.458713
34.0,12,59.661685
-138.0,12,59.670165
-174.0,12,59.950094
-138.0,12,60.383336
-188.0,12,60.807865
-204.0,12,60.898146
-100.0,12,61.897481
-120.0,12,62.503311
-172.0,12,63.222561
-76.0,12,63.260041
-88.0,12,63.429713
-140.0,12,64.081548
-94.0,12,64.797118
-118.0,12,65.279777
-16.0,12,66.119698
-36.0,12,67.033726
-128.0,12,67.261837
-122.0,12,67.291628
-64.0,12,67.822801
-210.0,12,68.418147
-82.0,12,68.688673
-110.0,12,69.636581
-168.0,12,70.285763
-106.0,12,70.919219
-124.0,12,70.929925
-148.0,12,71.743283
-134.0,12,72.486392
-122.0,12,72.497138
-210.0,12,72.769635
-64.0,12,73.251146
-114.0,12,73.416182
-16.0,12,73.426655
-240.0,12,73.664514
-240.0,12,74.682968
-140.0,12,75.267382
-240.0,12,75.329338
-138.0,12,75.565029
-116.0,12,76.021828
-206.0,12,77.180514
-116.0,12,77.832093
-190.0,12,77.844161
-196.0,12,77.935836
-16.0,12,78.496664
2.0,12,79.194669
-116.0,12,80.549147
-158.0,12,80.798953
-60.0,12,80.979394
-114.0,12,81.351283
12.0,12,82.044849
-186.0,12,82.122701
-122.0,12,82.131818
-240.0,12,82.142763
-24.0,12,82.239955
-218.0,12,83.101903
-194.0,12,83.395897
-76.0,12,83.406644
-174.0,12,83.41885
-94.0,12,83.583376
-124.0,12,84.132234
-40.0,12,85.383767
-102.0,12,86.193234
-204.0,12,86.870748
-82.0,12,88.445081
-186.0,12,89.384922
-156.0,12,89.393379
-24.0,12,90.213557
-240.0,12,91.238223
-180.0,12,91.339043
-148.0,12,91.345826
-58.0,12,91.635425
-188.0,12,91.828808
-202.0,12,92.48713
-106.0,12,92.703717
-180.0,12,93.318972
-204.0,12,93.681513
-202.0,12,93.76862
-114.0,12,94.550464
-178.0,12,94.76638
2.0,12,95.523447
-166.0,12,95.610355
-172.0,12,95.658108
-108.0,12,96.483053
-28.0,12,97.224804
-166.0,12,97.237484
-240.0,12,97.299006
-36.0,12,97.745821
-130.0,12,98.013221
-36.0,12,98.272093
-188.0,12,99.088059
-132.0,12,99.589138
-166.0,12,99.639529
-220.0,12,99.795243
-130.0,12,100.382028
-174.0,12,101.267896
-120.0,12,101.279669
-240.0,12,101.827494
-190.0,12,101.838109
-240.0,12,101.842219
-166.0,12,102.559844
-30.0,12,102.697536
-240.0,12,102.847705
-198.0,12,102.85639
-134.0,12,103.054641
-146.0,12,103.854072
-54.0,12,103.968031
-164.0,12,104.270595
-162.0,12,104.318682
-204.0,12,104.938302
-98.0,12,106.613098
-188.0,12,107.520494
-44.0,12,107.795119
-48.0,12,108.626456
-204.0,12,109.165207
-84.0,12,109.400369
-72.0,12,110.000366
-204.0,12,110.253725
-54.0,12,110.372502
-138.0,12,110.570413
-100.0,12,110.580951
-110.0,12,111.543109
-240.0,12,111.742916
-56.0,12,112.788424
-206.0,12,113.354728
-46.0,12,113.534935
4.0,12,114.119648
-240.0,12,114.759565
-182.0,12,115.740058
-202.0,12,115.753589
-160.0,12,115.795026
-240.0,12,115.954516
142.0,12,116.618649
-210.0,12,116.813443
-142.0,12,117.935682
-132.0,12,118.491201
6.0,12,119.413548
-52.0,12,119.479837
-14.0,12,119.7794
-170.0,12,120.649665
-44.0,12,121.354523
-44.0,12,122.068401
-210.0,12,122.6841
-178.0,12,123.88663
-176.0,12,124.750737
46.0,12,126.100347
-154.0,12,126.288871
-130.0,12,126.370112
-146.0,12,126.892284
50.0,12,126.957483
-188.0,12,127.170978
-42.0,12,128.203987
-160.0,12,128.780944
-84.0,12,129.564063
-128.0,12,129.879313
-88.0,12,130.438619
-96.0,12,131.662884
-100.0,12,132.731326
-82.0,12,133.060065
-114.0,12,134.209059
-240.0,12,134.851424
-186.0,12,134.863128
-126.0,12,135.473656
-68.0,12,135.483968
-136.0,12,135.579412
-140.0,12,135.8234
-190.0,12,135.836313
-152.0,12,136.525398
-154.0,12,137.045913
-56.0,12,137.896516
-24.0,12,139.164258
-240.0,12,139.699834
-190.0,12,140.268444
-212.0,12,140.280974
-6.0,12,140.368265
-98.0,12,140.679621
-66.0,12,140.733546
-162.0,12,140.959999
-206.0,12,141.304555
-116.0,12,141.666014
-118.0,12,142.497579
-86.0,12,143.331738
-182.0,12,143.454121
-204.0,12,143.498848
-126.0,12,144.110646
-200.0,12,144.308079
-48.0,12,144.532885
-166.0,12,144.981771
-106.0,12,144.993354
-186.0,12,145.006357
-160.0,12,145.928926
-166.0,12,146.694695
-66.0,12,146.709306
-176.0,12,147.445266
-140.0,12,148.697993
-240.0,12,148.709407
-226.0,12,149.724885
-60.0,12,149.737727
-136.0,12,150.191714
-194.0,12,150.212591
-48.0,12,150.418928
-176.0,12,150.65574
-200.0,12,150.831699
-130.0,12,151.027727
-156.0,12,151.040926
-200.0,12,151.470901
-138.0,12,152.098902
-122.0,12,152.424032
24.0,12,152.91871
-160.0,12,153.503028
-136.0,12,153.982734
-166.0,12,154.102164
-108.0,12,154.787864
-192.0,12,155.602247
-146.0,12,155.642188
-176.0,12,155.653615
-86.0,12,156.49657
-152.0,12,156.565095
-120.0,12,157.890199
6.0,12,158.600329
-108.0,12,159.767841
-138.0,12,159.956163
-30.0,12,160.424572
-158.0,12,160.875468
-136.0,12,160.956234
-216.0,12,161.19921
-240.0,12,161.212163
-240.0,12,161.224989
-202.0,12,161.652073
-100.0,12,161.661225
-188.0,12,161.780391
-92.0,12,162.651883
-58.0,12,162.878333
-212.0,12,163.053532
-108.0,12,163.062295
-162.0,12,163.072946
-162.0,12,163.080819
-50.0,12,163.154185
-188.0,12,163.306818
-102.0,12,163.486659
-188.0,12,163.751224
-76.0,12,164.064053
-122.0,12,164.074529
-86.0,12,164.20341
-154.0,12,164.336851
-132.0,12,165.250523
-36.0,12,165.520628
-240.0,12,165.74123
-182.0,12,166.887237
-174.0,12,167.48012
-202.0,12,167.49419
-190.0,12,168.430148
-190.0,12,168.445907
