#{"t_start": 1748856809.0898216, "env_id": "None"}
r,l,t
-216.0,12,0.942348
-192.0,12,1.946255
-198.0,12,2.679669
-72.0,12,3.535333
-124.0,12,3.729729
-142.0,12,3.951088
-12.0,12,4.64984
-112.0,12,4.731114
-202.0,12,5.346046
-190.0,12,6.162496
-140.0,12,6.927329
-116.0,12,7.334589
-160.0,12,7.399943
-144.0,12,7.650447
-88.0,12,8.461222
-206.0,12,8.804554
-230.0,12,9.072552
-210.0,12,10.330517
-154.0,12,11.062151
-50.0,12,12.023419
18.0,12,12.374285
-30.0,12,13.14519
-96.0,12,14.20783
-240.0,12,15.148786
-158.0,12,16.012408
-144.0,12,16.115487
-216.0,12,16.850104
-38.0,12,17.512339
-170.0,12,17.517407
16.0,12,18.677043
-158.0,12,19.307386
-8.0,12,19.472311
-118.0,12,20.107873
6.0,12,20.207464
2.0,12,21.042496
-206.0,12,21.986864
-128.0,12,22.316499
-212.0,12,22.524138
-156.0,12,23.197748
-240.0,12,23.91009
-154.0,12,24.833791
-178.0,12,25.020744
-130.0,12,25.825568
80.0,12,26.479286
-202.0,12,27.224323
-126.0,12,27.302913
-80.0,12,27.530225
-32.0,12,27.724218
-138.0,12,27.952886
-166.0,12,28.842029
-240.0,12,29.879567
-46.0,12,30.744485
-156.0,12,31.297416
26.0,12,31.782301
-32.0,12,32.427558
-190.0,12,33.136639
-38.0,12,33.27551
-140.0,12,33.613808
-170.0,12,33.73147
-240.0,12,33.949124
-110.0,12,34.560619
-218.0,12,35.326166
-98.0,12,36.048808
-160.0,12,37.285051
-116.0,12,38.141264
-188.0,12,38.975701
-56.0,12,39.926483
-166.0,12,40.796818
-120.0,12,41.578889
-218.0,12,41.953239
-174.0,12,42.900802
-114.0,12,43.918962
-240.0,12,44.814308
-98.0,12,45.70306
-172.0,12,46.53195
-24.0,12,47.351145
-220.0,12,48.318582
92.0,12,48.83113
-198.0,12,50.247652
-240.0,12,51.016755
-34.0,12,51.837631
44.0,12,51.892365
