#{"t_start": 1748866346.891348, "env_id": "None"}
r,l,t
-449.0,12,0.788388
-367.0,12,1.275048
-399.0,12,1.975013
-346.0,12,2.609792
-381.0,12,3.080663
-209.0,12,3.899978
-289.0,12,3.990515
-341.0,12,4.444788
-423.0,12,5.535846
-421.0,12,6.242673
-284.0,12,7.356668
-404.0,12,8.226695
-279.0,12,9.264443
-363.0,12,10.278527
-285.0,12,10.458282
-376.0,12,11.302524
-224.0,12,11.949166
-417.0,12,12.958975
-390.0,12,13.741299
-333.0,12,14.643531
-309.0,12,14.794723
-313.0,12,15.740524
-355.0,12,16.725518
-417.0,12,17.052835
-178.0,12,18.211757
-411.0,12,18.96313
-426.0,12,19.939831
-415.0,12,20.866605
-289.0,12,21.224378
-373.0,12,21.693761
-413.0,12,22.350589
-317.0,12,22.605352
-438.0,12,23.556154
-431.0,12,23.775239
-248.0,12,24.291537
-410.0,12,24.994992
-425.0,12,25.085703
-452.0,12,26.241595
-349.0,12,26.49838
-284.0,12,27.014258
-307.0,12,27.667882
-255.0,12,28.444211
-354.0,12,29.266266
-379.0,12,30.218088
-386.0,12,31.281492
-446.0,12,31.858896
-402.0,12,32.716875
-300.0,12,33.252109
-332.0,12,33.969923
-417.0,12,34.148793
-237.0,12,35.022509
-309.0,12,35.653389
-429.0,12,36.559967
-230.0,12,37.286536
-425.0,12,38.058649
-265.0,12,38.983381
-103.0,12,39.799425
-449.0,12,40.589255
-370.0,12,41.55196
-268.0,12,42.371083
-363.0,12,43.280768
-304.0,12,44.051261
-453.0,12,44.695097
-354.0,12,45.367367
-343.0,12,46.225759
-458.0,12,46.901602
-452.0,12,47.185289
-378.0,12,48.531078
-256.0,12,49.754003
-361.0,12,50.684302
-324.0,12,51.309398
-319.0,12,51.383802
-421.0,12,52.111281
-350.0,12,52.854249
-401.0,12,53.49986
-428.0,12,54.351779
-301.0,12,55.328397
-416.0,12,56.054326
-296.0,12,56.610806
-429.0,12,57.248694
-132.0,12,57.978151
-396.0,12,58.746889
-308.0,12,59.524642
-402.0,12,60.625471
-281.0,12,61.846348
-358.0,12,62.413754
-365.0,12,63.467752
